epoch,train_total_loss,train_hard_loss,train_kd_loss,train_accuracy,val_total_loss,val_hard_loss,val_kd_loss,val_accuracy,sparsity,learning_rate,epoch_time_seconds
44,0.03577465212742487,0.0882577279832628,0.013281903992924426,99.83555555555556,0.12092373201549053,0.22946618444919586,0.07440553765296937,95.3,47.520617407978534,0.0005,47.809474413000316
45,0.03563283533387714,0.08840667629374398,0.013015473620759116,99.82444444444444,0.11960840899348259,0.23231346418857574,0.07130624098777771,95.24,47.526735093984854,0.0005,47.777555411999856
46,0.03630567629271084,0.08906226876311832,0.013695706617335478,99.7911111111111,0.120744571980834,0.2327786854982376,0.07272994623184204,95.48,47.52969093056185,0.0005,47.64419394300057
47,0.03686880914767583,0.08911824342674679,0.014476193168097073,99.80222222222223,0.1220330259770155,0.2353865353345871,0.07345294799804687,95.36,47.528051784823695,0.0005,47.542702404999545
48,0.03640035467346509,0.08959904033740361,0.013600916503866514,99.80666666666667,0.1201754706799984,0.23153131330013274,0.07245153675079345,95.34,47.53143756126643,0.0005,47.635950707999655
49,0.03587192255126105,0.08826137475172678,0.013419298860761854,99.82,0.12032166069746017,0.2356469880580902,0.0708965172290802,95.18,47.536140028548004,0.0005,47.617654190000394
50,0.035723770674069726,0.08810590521759457,0.01327428291009532,99.82666666666667,0.12256708350479603,0.23689309306144715,0.073570219373703,95.34,47.53836138452102,0.0005,47.73695901100018
51,0.036310719314548705,0.08926094256374571,0.013617765087385972,99.78888888888889,0.11849846177697182,0.2338454832315445,0.06906402087211609,95.2,47.5423741566013,0.0005,47.775421246000406
52,0.035953838233153027,0.08869594817161561,0.013350075436631838,99.84222222222222,0.11871048262715339,0.23213630553483963,0.0700994131565094,95.2,47.545724104721884,0.0005,47.822332126999754
53,0.03508299490213394,0.08745325821373198,0.01263859491844972,99.86444444444444,0.11924900672733783,0.23194861805438996,0.07094917030334473,95.4,47.54584054676886,0.0005,47.65231954999945
54,0.03538189571566052,0.08803980459107293,0.01281421923438708,99.84222222222222,0.1199615411221981,0.23538450397253036,0.07049455394744873,95.42,47.54987123301021,0.0005,47.6321875779995
55,0.035540991575188106,0.08792266540792253,0.013091701333555911,99.84444444444445,0.12190172234475613,0.23285104053020478,0.07435201067924499,95.56,47.55794156257345,0.0005,47.746320587999435
56,0.03538706264164713,0.088119100578626,0.012787616423269112,99.82666666666667,0.12135081812739372,0.23327510797977447,0.07338326344490051,95.26,47.557431008982874,0.0005,47.70067321299939
57,0.035240750996602906,0.08780820852915446,0.012711839124974277,99.85111111111111,0.12126590832471848,0.23740060564279555,0.0714938931941986,95.42,47.55805800462042,0.0005,47.753149898999254
58,0.03568383227123154,0.08813185481097963,0.013206106980310547,99.82888888888888,0.11825808368325233,0.23212573121786118,0.06945765886306762,95.42,47.56360243747241,0.0005,47.66116850100025
59,0.03512447873585754,0.08800755180915197,0.012460303104917208,99.84444444444445,0.12020192865431309,0.23136686094999315,0.07255981116294861,95.38,47.56558195227094,0.0005,47.71078491899971
60,0.03500677761336168,0.08747015189859603,0.012522472969442606,99.84222222222222,0.1185561655253172,0.23127615571022034,0.070247594499588,95.52,47.566020849217225,0.0005,47.73883546399975
61,0.03582325646215015,0.08877747729089525,0.013128588857915666,99.80666666666667,0.11929716755747795,0.23333145773410796,0.07042532463073731,95.28,47.573732895559004,0.0005,47.77387320100024
62,0.035945263033443024,0.08886225944625006,0.013266548770997259,99.82666666666667,0.11701637690067292,0.22901042672395705,0.06901892490386963,95.48,47.57358958227043,0.0005,47.619838093
63,0.034619607601563136,0.08698065430853102,0.012179157623317506,99.87777777777778,0.11822234584093094,0.23312368183135987,0.06897891254425048,95.3,47.57553326874681,0.0005,47.541293924000456
64,0.035093559073077304,0.0877315987388293,0.012534397803412544,99.82888888888888,0.12101784018874169,0.23381564950942993,0.07267591724395751,95.34,47.578121865021814,0.0005,47.69641423899975
65,0.03534245882564121,0.0879578100906478,0.012793021303415298,99.83333333333333,0.1159276362925768,0.22970495142936706,0.06716592669487,95.56,47.58033426391429,0.0005,47.77895547600019
66,0.03479912282956971,0.08712160973416434,0.012375198576351007,99.86,0.1178879685729742,0.23000549241304397,0.0698375979423523,95.44,47.582107765860485,0.0005,47.78973611999936
67,0.034703969874646926,0.08682936505476634,0.012364513217078314,99.87777777777778,0.11793820296525956,0.2290844820857048,0.07030408005714417,95.28,47.5861294950213,0.0005,47.73825257200042
68,0.03508019698295328,0.08777106082174513,0.012498396714031697,99.83333333333333,0.12044735517799854,0.23212647691965102,0.07258487162590027,95.4,47.59025870914855,0.0005,47.72871983500045
69,0.03467259239951769,0.08738547427521812,0.012081355889969402,99.8488888888889,0.11989503755867481,0.23610551537275315,0.07009054355621337,95.2,47.59299061871213,0.0005,47.58010951799952
70,0.03465386924677425,0.08746956727769639,0.012018568568593926,99.84444444444445,0.12067420102357865,0.23433082790374757,0.071964213180542,95.28,47.59471037817511,0.0005,47.53439228899879
71,0.035577442131439846,0.08847447056770325,0.012907285605867704,99.82222222222222,0.12003854542970657,0.23380187529325486,0.07128283076286315,95.16,47.59738854525547,0.0005,47.608044761998826
72,0.03494687771002451,0.0875473099761539,0.01240383388267623,99.84222222222222,0.11953025999069214,0.23479368574619294,0.0701316463470459,95.28,47.597881184684965,0.0005,47.69789135700012
73,0.03513223257925775,0.0877735685189565,0.012571658733983835,99.84222222222222,0.12073795515596866,0.2351326670885086,0.07171164679527282,95.28,47.60271800817459,0.0005,47.70582801799901
74,0.035047769689559936,0.08804456568691466,0.012334855731328328,99.84666666666666,0.12097341430187225,0.235651962018013,0.07182546319961548,95.3,47.60257469488601,0.0005,47.69665545800126
75,0.03482628518342972,0.08754476769632763,0.012232648415035671,99.86,0.1190809001326561,0.23425078842639924,0.06972237300872802,95.26,47.60581715804016,0.00025,47.65523366399975
